,Model Name,Position,Mean Square Error,R2 Score
12,BayesianRidge,QB,6382.387555943815,0.5655829071012556
16,ElasticNet,QB,6749.647820697124,0.5405853438613399
0,LinearRegression,QB,7070.752733706437,0.5187293437983069
20,RandomForestRegressor,QB,7125.591988074065,0.5149967109473084
8,Lasso,QB,7331.1676922557635,0.5010042043816334
4,Ridge,QB,7632.731964559189,0.4804782376727994
24,KNeighborsRegressor,QB,7827.892510843373,0.46719463863996546
28,MLPRegressor,QB,8284.029497806705,0.43614768291950545
21,RandomForestRegressor,RB,3764.542056911083,0.4252265538728487
17,ElasticNet,RB,3856.045526935551,0.4112557271418782
9,Lasso,RB,3868.6537590102525,0.40933069166888014
5,Ridge,RB,3912.9484640386863,0.4025677388662573
1,LinearRegression,RB,3913.6624885732085,0.40245872100004076
13,BayesianRidge,RB,3928.8261568406733,0.40014351938075776
29,MLPRegressor,RB,3948.945705004891,0.39707164985239407
25,KNeighborsRegressor,RB,4448.454892857143,0.32080616711009446
3,LinearRegression,TE,1659.0358690726428,0.5515683709485368
7,Ridge,TE,1659.5860712480323,0.5514196532128826
11,Lasso,TE,1685.5000403896777,0.5444151974238267
23,RandomForestRegressor,TE,1689.730711417167,0.5432716617497617
19,ElasticNet,TE,1701.125548077314,0.5401916770058868
15,BayesianRidge,TE,1777.69181051977,0.51949608239126
31,MLPRegressor,TE,1807.000141375131,0.5115741424288677
27,KNeighborsRegressor,TE,1857.4840135593222,0.497928527245733
14,BayesianRidge,WR,3921.6707692063333,0.45279378854882013
18,ElasticNet,WR,3935.711051962683,0.4508346924423512
10,Lasso,WR,3953.1555436325293,0.44840059362092455
6,Ridge,WR,3980.470525664264,0.44458922629483266
2,LinearRegression,WR,3980.725305591238,0.44455367584534367
30,MLPRegressor,WR,4182.359747924789,0.41641882573151234
22,RandomForestRegressor,WR,4196.505148286623,0.4144450621503779
26,KNeighborsRegressor,WR,4513.374465198238,0.3702310348552158
